SAT Frequency 
[1] 1286
    SAT        SATF
0.6566   1 0.0005149331
0.6575   2 0.0010298661
0.6576   1 0.0005149331
0.6578   1 0.0005149331
0.658    1 0.0005149331
0.6582   1 0.0005149331
0.6588   1 0.0005149331
0.6589   2 0.0010298661
0.659    1 0.0005149331
0.6597   1 0.0005149331
0.6598   1 0.0005149331
0.6599   1 0.0005149331
0.6604   1 0.0005149331
0.6605   1 0.0005149331
0.6606   1 0.0005149331
0.6607   1 0.0005149331
0.6611   1 0.0005149331
0.6612   1 0.0005149331
0.6613   2 0.0010298661
0.6615   1 0.0005149331
0.6621   2 0.0010298661
0.6622   1 0.0005149331
0.6623   1 0.0005149331
0.6627   1 0.0005149331
0.6628   1 0.0005149331
0.6629   1 0.0005149331
0.663    2 0.0010298661
0.6632   1 0.0005149331
0.6636   1 0.0005149331
0.6637   3 0.0015447992
0.6638   1 0.0005149331
0.664    1 0.0005149331
0.6641   1 0.0005149331
0.6644   1 0.0005149331
0.6645   1 0.0005149331
0.6646   1 0.0005149331
0.6647   2 0.0010298661
0.6652   1 0.0005149331
0.6654   2 0.0010298661
0.6659   1 0.0005149331
0.6661   1 0.0005149331
0.6665   1 0.0005149331
0.6669   1 0.0005149331
0.6672   1 0.0005149331
0.6674   1 0.0005149331
0.6678   1 0.0005149331
0.6682   1 0.0005149331
0.6687   2 0.0010298661
0.6688   2 0.0010298661
0.6694   1 0.0005149331
0.6695   1 0.0005149331
0.6701   1 0.0005149331
0.6702   1 0.0005149331
0.6706   1 0.0005149331
0.6707   2 0.0010298661
0.6708   2 0.0010298661
0.671    2 0.0010298661
0.6711   1 0.0005149331
0.6713   1 0.0005149331
0.6714   1 0.0005149331
0.6717   1 0.0005149331
0.672    1 0.0005149331
0.6723   1 0.0005149331
0.6726   1 0.0005149331
0.6729   2 0.0010298661
0.6732   2 0.0010298661
0.6737   1 0.0005149331
0.6741   1 0.0005149331
0.6745   1 0.0005149331
0.6747   1 0.0005149331
0.6752   1 0.0005149331
0.6754   1 0.0005149331
0.6756   1 0.0005149331
0.6759   1 0.0005149331
0.676    1 0.0005149331
0.6762   1 0.0005149331
0.6764   1 0.0005149331
0.6765   2 0.0010298661
0.6768   1 0.0005149331
